time,trading_symbol,expiry,order_type,order_action,order_leg,status,exit_timestamp,order_qty
2025-04-17 15:29:00,NIFTY30APR25P23500,2025-04-30,PUT,B,Hedge,CLOSED,2025-04-24 11:02:52,75
2025-04-17 15:29:00,NIFTY30APR25P23800,2025-04-30,PUT,S,Main,CLOSED,2025-04-24 11:02:52,75
2025-04-25 15:24:00,NIFTY30APR25C24400,2025-04-30,CALL,B,Hedge,CLOSED,2025-04-28 10:02:52,750
2025-04-25 15:24:00,NIFTY30APR25C24200,2025-04-30,CALL,S,Main,CLOSED,2025-04-28 10:02:52,750
2025-04-28 12:24:00,NIFTY08MAY25P23800,2025-05-08,PUT,B,Hedge,CLOSED,,750
2025-04-28 12:24:00,NIFTY08MAY25P24200,2025-05-08,PUT,S,Main,CLOSED,,750
2025-05-09 10:26:00,NIFTY29MAY25C25300,2025-05-29,CE,B,Hedge,ACTIVE,,300
2025-05-09 10:26:00,NIFTY29MAY25C24800,2025-05-29,CE,S,Main,ACTIVE,,300
